#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
32.315	525	32.341	532
32.365	547	32.391	551
32.416	565	32.442	569
32.467	578	32.492	579
32.518	585	32.543	587
32.568	587	32.594	586
32.619	583	32.645	582
32.669	572	32.695	571
32.721	557	32.746	555
32.771	538	32.796	536
32.822	516	32.848	514
32.872	492	32.898	489
32.923	465	32.949	464
32.973	441	32.999	439
33.025	418	33.050	416
33.075	399	33.100	396
33.126	383	33.152	380
33.176	371	33.202	369
33.227	365	33.253	363
33.278	364	33.303	362
33.329	368	33.354	368
33.379	377	33.405	378
33.430	391	33.456	393
33.480	408	33.506	413
33.532	430	33.557	436
33.582	453	33.607	461
33.633	477	33.659	486
33.683	503	33.709	510
33.734	527	33.760	533
33.784	547	33.810	552
33.836	563	33.861	568
33.887	576	33.911	579
33.937	582	33.963	585
33.988	584	34.013	584
34.038	579	34.064	579
34.090	569	34.114	569
34.140	554	34.165	553
34.191	536	34.216	534
34.241	513	34.267	511
34.292	489	34.317	487
34.343	465	34.368	462
34.394	440	34.418	437
34.444	418	34.470	415
34.495	399	34.520	395
34.545	384	34.571	379
34.597	375	34.621	368
34.647	367	34.672	364
34.698	366	34.722	363
34.748	371	34.774	369
34.799	380	34.824	381
34.849	394	34.875	395
34.901	412	34.925	416
34.951	433	34.976	439
35.002	456	35.027	464
35.052	479	35.078	489
35.103	504	35.128	513
35.154	526	35.179	535
35.205	546	35.229	554
35.255	561	35.281	570
35.306	573	35.331	579
35.356	580	35.382	584
35.408	581	35.432	584
35.458	576	35.483	578
35.509	566	35.533	567
35.559	551	35.585	552
35.610	532	35.635	532
35.660	511	35.686	509
35.712	487	35.736	484
35.762	463	35.787	459
35.813	439	35.838	435
35.863	418	35.889	413
35.914	400	35.939	394
35.965	386	35.990	380
36.016	375	36.040	369
36.066	370	36.092	364
36.117	369	36.142	365
36.167	374	36.193	371
36.219	383	36.243	383
36.269	397	36.294	399
36.320	414	36.344	419
36.370	435	36.396	442
36.421	458	36.446	467
36.471	482	36.497	492
36.523	505	36.547	515
36.573	526	36.598	537
36.624	546	36.649	555
36.674	560	36.700	570
36.725	572	36.750	580
36.776	577	36.801	583
36.827	577	36.852	583
36.877	573	36.903	576
36.928	563	36.954	564
36.978	549	37.004	548
37.030	530	37.055	528
37.080	509	37.105	506
37.131	486	37.157	481
37.181	462	37.207	456
37.232	440	37.258	433
37.282	420	37.308	411
37.334	401	37.359	393
37.384	386	37.409	379
37.435	379	37.461	369
37.485	372	37.511	365
37.536	372	37.562	367
37.587	377	37.612	374
37.638	386	37.663	385
37.688	399	37.714	403
37.739	417	37.765	423
37.789	437	37.815	445
37.841	460	37.866	471
37.891	482	37.916	494
37.942	506	37.968	518
37.992	527	38.018	539
38.043	545	38.069	556
38.093	560	38.119	571
38.145	570	38.170	579
38.195	575	38.220	582
38.246	574	38.272	581
38.296	571	38.322	574
38.347	560	38.373	562
38.398	546	38.423	545
38.449	528	38.474	526
38.499	506	38.525	503
38.550	484	38.576	478
38.600	461	38.626	454
38.652	439	38.677	430
38.702	419	38.727	410
38.753	402	38.779	392
38.803	389	38.829	379
38.854	379	38.880	370
38.904	374	38.930	366
38.956	373	38.981	370
39.006	379	39.031	376
39.057	388	39.083	389
39.107	402	39.133	406
