#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 10:39:05 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
36.826	500	36.852	577
36.877	499	36.903	554
36.927	498	36.953	527
36.979	498	37.004	500
37.029	498	37.054	473
37.080	498	37.106	448
37.130	498	37.156	427
37.181	500	37.207	410
37.231	499	37.257	399
37.283	500	37.308	394
37.333	500	37.358	394
37.384	499	37.410	402
37.434	500	37.460	414
37.485	499	37.511	432
37.536	499	37.561	454
37.587	498	37.612	481
37.637	499	37.663	506
37.688	499	37.714	534
37.738	499	37.764	560
37.790	500	37.815	584
37.840	500	37.865	603
37.891	500	37.917	617
37.941	502	37.967	627
37.992	503	38.018	631
38.042	505	38.068	627
38.094	506	38.119	619
38.144	508	38.169	606
38.195	509	38.221	585
38.245	511	38.271	564
38.296	511	38.322	539
38.347	512	38.372	512
38.398	511	38.423	486
38.449	510	38.474	459
38.499	509	38.525	437
38.550	507	38.575	418
38.601	505	38.626	405
38.652	503	38.676	398
38.702	499	38.728	396
38.753	497	38.778	400
38.803	494	38.829	410
38.855	491	38.879	427
38.905	489	38.930	447
38.956	487	38.980	470
39.006	486	39.032	496
39.057	487	39.082	522
39.107	486	39.133	548
39.159	488	39.183	573
39.209	490	39.234	593
39.260	494	39.285	609
39.310	496	39.336	620
39.361	500	39.386	626
39.412	504	39.437	626
39.463	509	39.487	620
39.513	513	39.539	609
39.564	517	39.589	592
39.614	520	39.640	572
39.666	522	39.690	548
39.716	523	39.741	522
39.767	523	39.791	496
39.817	523	39.843	471
39.868	521	39.893	448
39.918	517	39.944	429
39.970	512	39.994	413
40.020	508	40.045	404
40.071	503	40.096	399
40.121	497	40.147	401
40.172	491	40.197	408
40.223	487	40.248	422
40.274	481	40.298	439
40.324	478	40.350	461
40.375	475	40.400	486
40.425	475	40.451	511
40.477	475	40.501	536
40.527	476	40.552	560
40.578	479	40.602	582
40.628	483	40.654	600
40.679	489	40.704	613
40.729	495	40.755	620
40.781	502	40.805	623
40.831	509	40.856	619
40.882	516	40.907	610
40.932	522	40.958	597
40.983	527	41.008	578
41.034	532	41.059	557
41.085	535	41.109	533
41.135	536	41.161	508
